CountryName,CountryID
Argentina,1
New Zealand,2
New Caledonia,3
Canada,4
China,5
Mauritius,6
Cook Islands,7
Germany,8
USA,9
Papua New Guinea,10
Fiji,11
Tahiti,12
Vanuatu,13
Malaysia,14
Indonesia,15
Korea,16
Singapore,17
Thailand,18
UK,19
Luxembourg,20
Hong Kong (SAR),21
Taiwan,22
Guam,23
United Arab Emirates,24
Philippines,25
Japan,26
Vietnam,27
Chile,28
Nauru,29
Solomon Islands,30
India,31
South Africa,32
Brunei,33
Tonga,34
Western Samoa,35
Qatar,36
France,37
Reunion,38
Macau,39
Kiribati,40
Nigeria,41
Brazil,42
Turkey,43
Kazakhstan,44
Netherlands,45
Uruguay,46
Laos,47
Sri Lanka,48
Bahrain,49
Peru,50
Cambodia,51
East Timor,52
Italy,53
Palau,54
Azerbaijan,55
Botswana,56
Bangladesh,57
