DateID,CityID,City,Metric,Direction,Amount
202401,1,Adelaide,Aircraft Movements,Inbound,201.0
202501,1,Adelaide,Aircraft Movements,Inbound,255.0
202401,1,Adelaide,Aircraft Movements,Outbound,199.0
202501,1,Adelaide,Aircraft Movements,Outbound,258.0
202401,1,Adelaide,Freight (Tonnes),Inbound,538.9
202501,1,Adelaide,Freight (Tonnes),Inbound,905.4
202401,1,Adelaide,Freight (Tonnes),Outbound,644.7
202501,1,Adelaide,Freight (Tonnes),Outbound,1483.3
202401,1,Adelaide,Passengers,Inbound,35227.0
202501,1,Adelaide,Passengers,Inbound,44413.0
202401,1,Adelaide,Passengers,Outbound,37267.0
202501,1,Adelaide,Passengers,Outbound,46353.0
202401,2,Brisbane,Aircraft Movements,Inbound,1206.0
202501,2,Brisbane,Aircraft Movements,Inbound,1353.0
202401,2,Brisbane,Aircraft Movements,Outbound,1204.0
202501,2,Brisbane,Aircraft Movements,Outbound,1351.0
202401,2,Brisbane,Freight (Tonnes),Inbound,4767.8
202501,2,Brisbane,Freight (Tonnes),Inbound,5579.5
202401,2,Brisbane,Freight (Tonnes),Outbound,4205.0
202501,2,Brisbane,Freight (Tonnes),Outbound,4693.3
202401,2,Brisbane,Passengers,Inbound,221626.0
202501,2,Brisbane,Passengers,Inbound,261414.0
202401,2,Brisbane,Passengers,Outbound,231012.0
202501,2,Brisbane,Passengers,Outbound,262439.0
202401,3,Broome,Aircraft Movements,Inbound,
202501,3,Broome,Aircraft Movements,Inbound,9.0
202401,3,Broome,Aircraft Movements,Outbound,
202501,3,Broome,Aircraft Movements,Outbound,9.0
202401,3,Broome,Freight (Tonnes),Inbound,
202501,3,Broome,Freight (Tonnes),Inbound,
202401,3,Broome,Freight (Tonnes),Outbound,
202501,3,Broome,Freight (Tonnes),Outbound,
202401,3,Broome,Passengers,Inbound,
202501,3,Broome,Passengers,Inbound,623.0
202401,3,Broome,Passengers,Outbound,
202501,3,Broome,Passengers,Outbound,665.0
202401,4,Cairns,Aircraft Movements,Inbound,160.0
202501,4,Cairns,Aircraft Movements,Inbound,192.0
202401,4,Cairns,Aircraft Movements,Outbound,160.0
202501,4,Cairns,Aircraft Movements,Outbound,193.0
202401,4,Cairns,Freight (Tonnes),Inbound,36.8
202501,4,Cairns,Freight (Tonnes),Inbound,49.9
202401,4,Cairns,Freight (Tonnes),Outbound,181.3
202501,4,Cairns,Freight (Tonnes),Outbound,189.0
202401,4,Cairns,Passengers,Inbound,20443.0
202501,4,Cairns,Passengers,Inbound,25189.0
202401,4,Cairns,Passengers,Outbound,23586.0
202501,4,Cairns,Passengers,Outbound,26296.0
202401,5,Canberra,Aircraft Movements,Inbound,9.0
202501,5,Canberra,Aircraft Movements,Inbound,13.0
202401,5,Canberra,Aircraft Movements,Outbound,9.0
202501,5,Canberra,Aircraft Movements,Outbound,13.0
202401,5,Canberra,Freight (Tonnes),Inbound,0.6
202501,5,Canberra,Freight (Tonnes),Inbound,0.0
202401,5,Canberra,Freight (Tonnes),Outbound,
202501,5,Canberra,Freight (Tonnes),Outbound,0.1
202401,5,Canberra,Passengers,Inbound,1048.0
202501,5,Canberra,Passengers,Inbound,1337.0
202401,5,Canberra,Passengers,Outbound,1085.0
202501,5,Canberra,Passengers,Outbound,1280.0
202401,6,Darwin,Aircraft Movements,Inbound,83.0
202501,6,Darwin,Aircraft Movements,Inbound,119.0
202401,6,Darwin,Aircraft Movements,Outbound,82.0
202501,6,Darwin,Aircraft Movements,Outbound,112.0
202401,6,Darwin,Freight (Tonnes),Inbound,19.4
202501,6,Darwin,Freight (Tonnes),Inbound,20.2
202401,6,Darwin,Freight (Tonnes),Outbound,5.1
202501,6,Darwin,Freight (Tonnes),Outbound,5.9
202401,6,Darwin,Passengers,Inbound,8842.0
202501,6,Darwin,Passengers,Inbound,11170.0
202401,6,Darwin,Passengers,Outbound,8847.0
202501,6,Darwin,Passengers,Outbound,11190.0
202401,7,Gold Coast,Aircraft Movements,Inbound,146.0
202501,7,Gold Coast,Aircraft Movements,Inbound,140.0
202401,7,Gold Coast,Aircraft Movements,Outbound,147.0
202501,7,Gold Coast,Aircraft Movements,Outbound,139.0
202401,7,Gold Coast,Freight (Tonnes),Inbound,2.5
202501,7,Gold Coast,Freight (Tonnes),Inbound,2.0
202401,7,Gold Coast,Freight (Tonnes),Outbound,0.7
202501,7,Gold Coast,Freight (Tonnes),Outbound,1.1
202401,7,Gold Coast,Passengers,Inbound,22701.0
202501,7,Gold Coast,Passengers,Inbound,23636.0
202401,7,Gold Coast,Passengers,Outbound,21933.0
202501,7,Gold Coast,Passengers,Outbound,22040.0
202401,8,Melbourne,Aircraft Movements,Inbound,2136.0
202501,8,Melbourne,Aircraft Movements,Inbound,2248.0
202401,8,Melbourne,Aircraft Movements,Outbound,2138.0
202501,8,Melbourne,Aircraft Movements,Outbound,2254.0
202401,8,Melbourne,Freight (Tonnes),Inbound,14090.6
202501,8,Melbourne,Freight (Tonnes),Inbound,14373.1
202401,8,Melbourne,Freight (Tonnes),Outbound,12732.1
202501,8,Melbourne,Freight (Tonnes),Outbound,11472.1
202401,8,Melbourne,Passengers,Inbound,393502.0
202501,8,Melbourne,Passengers,Inbound,449863.0
202401,8,Melbourne,Passengers,Outbound,425979.0
202501,8,Melbourne,Passengers,Outbound,460578.0
202401,9,Perth,Aircraft Movements,Inbound,1002.0
202501,9,Perth,Aircraft Movements,Inbound,1061.0
202401,9,Perth,Aircraft Movements,Outbound,1001.0
202501,9,Perth,Aircraft Movements,Outbound,1068.0
202401,9,Perth,Freight (Tonnes),Inbound,4127.1
202501,9,Perth,Freight (Tonnes),Inbound,4332.5
202401,9,Perth,Freight (Tonnes),Outbound,4305.8
202501,9,Perth,Freight (Tonnes),Outbound,4113.2
202401,9,Perth,Passengers,Inbound,170679.0
202501,9,Perth,Passengers,Inbound,201195.0
202401,9,Perth,Passengers,Outbound,186609.0
202501,9,Perth,Passengers,Outbound,206834.0
202401,10,Sunshine Coast,Aircraft Movements,Inbound,
202501,10,Sunshine Coast,Aircraft Movements,Inbound,13.0
202401,10,Sunshine Coast,Aircraft Movements,Outbound,
202501,10,Sunshine Coast,Aircraft Movements,Outbound,13.0
202401,10,Sunshine Coast,Freight (Tonnes),Inbound,
202501,10,Sunshine Coast,Freight (Tonnes),Inbound,
202401,10,Sunshine Coast,Freight (Tonnes),Outbound,
202501,10,Sunshine Coast,Freight (Tonnes),Outbound,
202401,10,Sunshine Coast,Passengers,Inbound,
202501,10,Sunshine Coast,Passengers,Inbound,1576.0
202401,10,Sunshine Coast,Passengers,Outbound,
202501,10,Sunshine Coast,Passengers,Outbound,1507.0
202401,11,Sydney,Aircraft Movements,Inbound,3221.0
202501,11,Sydney,Aircraft Movements,Inbound,3272.0
202401,11,Sydney,Aircraft Movements,Outbound,3202.0
202501,11,Sydney,Aircraft Movements,Outbound,3231.0
202401,11,Sydney,Freight (Tonnes),Inbound,29670.3
202501,11,Sydney,Freight (Tonnes),Inbound,29630.4
202401,11,Sydney,Freight (Tonnes),Outbound,16398.1
202501,11,Sydney,Freight (Tonnes),Outbound,13336.7
202401,11,Sydney,Passengers,Inbound,599358.0
202501,11,Sydney,Passengers,Inbound,640137.0
202401,11,Sydney,Passengers,Outbound,617617.0
202501,11,Sydney,Passengers,Outbound,648323.0
202401,12,Toowoomba Wellcamp,Aircraft Movements,Inbound,4.0
202501,12,Toowoomba Wellcamp,Aircraft Movements,Inbound,4.0
202401,12,Toowoomba Wellcamp,Aircraft Movements,Outbound,4.0
202501,12,Toowoomba Wellcamp,Aircraft Movements,Outbound,4.0
202401,12,Toowoomba Wellcamp,Freight (Tonnes),Inbound,52.2
202501,12,Toowoomba Wellcamp,Freight (Tonnes),Inbound,19.9
202401,12,Toowoomba Wellcamp,Freight (Tonnes),Outbound,91.1
202501,12,Toowoomba Wellcamp,Freight (Tonnes),Outbound,65.5
202401,12,Toowoomba Wellcamp,Passengers,Inbound,
202501,12,Toowoomba Wellcamp,Passengers,Inbound,
202401,12,Toowoomba Wellcamp,Passengers,Outbound,
202501,12,Toowoomba Wellcamp,Passengers,Outbound,
